lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
3.03683204812896,45.748,0.58,45.293,0.23,45.759,0.16,46.167,0.23,46.093,0.29,46.404,0.33,45.675,0.63,45.671,0.58,45.711,0.58
3.0568315522183154,45.747,0.6,45.298,0.23,45.768,0.16,46.178,0.23,46.113,0.29,46.417,0.33,45.692,0.63,45.675,0.58,45.704,0.58
3.0768320099819872,45.745,0.61,45.302,0.23,45.775,0.16,46.188,0.22,46.122,0.29,46.422,0.33,45.704,0.62,45.678,0.58,45.697,0.58
3.0968315140713427,45.741,0.6,45.304,0.23,45.779,0.15,46.194,0.22,46.119,0.28,46.419,0.32,45.711,0.62,45.681,0.58,45.692,0.58
3.1168319718350146,45.731,0.6,45.305,0.23,45.781,0.15,46.197,0.22,46.107,0.28,46.41,0.32,45.714,0.61,45.682,0.58,45.688,0.58
3.13683147592437,45.728,0.59,45.302,0.23,45.78,0.15,46.197,0.21,46.089,0.28,46.399,0.32,45.714,0.61,45.682,0.58,45.685,0.58
3.156831933688042,45.722,0.59,45.298,0.22,45.775,0.14,46.193,0.21,46.07,0.28,46.386,0.32,45.711,0.6,45.681,0.58,45.681,0.58
3.1768314377773974,45.714,0.58,45.29,0.22,45.768,0.14,46.186,0.2,46.049,0.27,46.373,0.32,45.706,0.59,45.678,0.58,45.678,0.58
3.1968318955410693,45.705,0.58,45.279,0.22,45.758,0.14,46.177,0.2,46.029,0.27,46.36,0.32,45.699,0.59,45.673,0.57,45.673,0.57
3.2168313996304247,45.695,0.57,45.266,0.22,45.746,0.13,46.166,0.2,46.009,0.27,46.348,0.32,45.691,0.58,45.668,0.57,45.668,0.57
3.2368318573940966,45.684,0.57,45.251,0.21,45.732,0.13,46.154,0.2,45.988,0.27,46.335,0.32,45.681,0.57,45.66,0.57,45.66,0.57
3.256831361483452,45.672,0.56,45.235,0.21,45.718,0.13,46.141,0.2,45.967,0.27,46.32,0.32,45.67,0.57,45.651,0.56,45.651,0.56
3.276831819247124,45.66,0.56,45.218,0.21,45.702,0.13,46.127,0.2,45.948,0.27,46.305,0.32,45.658,0.56,45.642,0.56,45.642,0.56
3.2968313233364794,45.648,0.56,45.203,0.21,45.688,0.13,46.114,0.2,45.93,0.28,46.288,0.32,45.646,0.56,45.634,0.56,45.634,0.56
3.3168317811001513,45.638,0.55,45.192,0.21,45.677,0.13,46.103,0.2,45.916,0.28,46.272,0.32,45.636,0.56,45.627,0.56,45.627,0.56
3.336831285189507,45.631,0.55,45.183,0.21,45.668,0.13,46.094,0.2,45.909,0.28,46.26,0.32,45.629,0.55,45.621,0.55,45.621,0.55
