# lambda   continuum             lines                
  1136     1.71241807414015E-5   1.71302220884336E-5  
  1138     1.70772553055957E-5   1.70864366476762E-5  
  1140     1.70305405190397E-5   1.70443472619532E-5  
  1142     1.69840350690483E-5   1.70045792575839E-5  
  1144     1.69377376533956E-5   1.69679858460199E-5  
  1146     1.68916469802145E-5   1.69357149002125E-5  
  1148     1.68457617678952E-5   1.69092887696877E-5  
  1150     1.6800080744987E-5    1.68906971544324E-5  
  1152     1.67546026501E-5      1.68825019081222E-5  
  1154     1.6709326231808E-5    1.68879510848501E-5  
  1156     1.66642502485528E-5   1.69110975752421E-5  
  1158     1.66193734685497E-5   1.69569153418267E-5  
  1160     1.65746946696936E-5   1.70314036682565E-5  
  1162     1.65302126394667E-5   1.7141667167197E-5   
  1164     1.64859261748464E-5   1.72959568137906E-5  
  1166     1.64418340822154E-5   1.75036553292274E-5  
  1168     1.6397935177272E-5    1.77751892356191E-5  
  1170     1.63542282849415E-5   1.81218502700371E-5  
  1172     1.63107122392885E-5   1.85555109930281E-5  
  1174     1.62673858834311E-5   1.90882236849889E-5  
  1176     1.62242480694544E-5   1.97316981727831E-5  
  1178     1.61812976583267E-5   2.04966630312148E-5  
  1180     1.61385335198153E-5   2.13921253460739E-5  
  1182     1.6095954532404E-5    2.24245562832963E-5  
  1184     1.60535595832112E-5   2.35970421464859E-5  
  1186     1.60113475679089E-5   2.49084522172202E-5  
  1188     1.59693173906429E-5   2.63526840738859E-5  
  1190     1.59274679639536E-5   2.79180528447924E-5  
  1192     1.58857982086974E-5   2.95868916643443E-5  
  1194     1.58443070539697E-5   3.13354254735811E-5  
  1196     1.58029934370282E-5   3.31339687375833E-5  
  1198     1.5761856303217E-5    3.49474797802697E-5  
  1200     1.5720894605892E-5    3.67364811238543E-5  
  1202     1.56801073063464E-5   3.84583280526986E-5  
  1204     1.5639493373738E-5    4.00687788169043E-5  
  1206     1.55990517850162E-5   4.15237921076514E-5  
  1208     1.55587815248506E-5   4.27814535023032E-5  
  1210     1.551868158556E-5     4.3803915170521E-5   
  1212     1.5478750967042E-5    4.45592244487946E-5  
  1214     1.54389886767042E-5   4.50229183466878E-5  
  1216     1.53993937293951E-5   4.51792730633158E-5  
  1218     1.53599651473362E-5   4.50221194855995E-5  
  1220     1.5320701960055E-5    4.45551656587405E-5  
  1222     1.52816032043186E-5   4.37918027090127E-5  
  1224     1.52426679240676E-5   4.27544083865406E-5  
  1226     1.52038951703515E-5   4.14731987581922E-5  
  1228     1.51652840012641E-5   3.99847102460112E-5  
  1230     1.51268334818799E-5   3.83300183344988E-5  
  1232     1.50885426841912E-5   3.65528138620299E-5  
  1234     1.50504106870456E-5   3.46974619103062E-5  
  1236     1.50124365760845E-5   3.2807162060016E-5   
  1238     1.49746194436822E-5   3.09223133747909E-5  
